COUNTY,2012 POPULATION ESTIMATE,2010 CENSUS POPULATION,2010 LAND AREA SQUARE MILES,2012 POPULATION DENSITY
ALBANY,305455.00,304204.00,522.80,584.27
ALLEGANY,48357.00,48946.00,1029.31,46.98
BROOME,198060.00,200600.00,705.77,280.63
CATTARAUGUS,79458.00,80317.00,1308.35,60.73
CAYUGA,79552.00,80026.00,691.58,115.03
CHAUTAUQUA,133539.00,134905.00,1060.23,125.95
CHEMUNG,88911.00,88830.00,407.35,218.27
CHENANGO,49933.00,50477.00,893.55,55.88
CLINTON,81654.00,82128.00,1037.85,78.68
COLUMBIA,62499.00,63096.00,634.71,98.47
CORTLAND,49474.00,49336.00,498.76,99.19
DELAWARE,47276.00,47980.00,1442.44,32.78
DUTCHESS,297322.00,297488.00,795.63,373.69
ERIE,919086.00,919040.00,1042.69,881.46
ESSEX,38961.00,39370.00,1794.23,21.71
FRANKLIN,51795.00,51599.00,1629.12,31.79
FULTON,54925.00,55531.00,495.47,110.85
GENESEE,59977.00,60079.00,492.94,121.67
GREENE,48673.00,49221.00,647.16,75.21
HAMILTON,4778.00,4836.00,1717.37,2.78
HERKIMER,64508.00,64519.00,1411.47,45.70
JEFFERSON,120262.00,116229.00,1268.59,94.80
LEWIS,27224.00,27087.00,1274.68,21.36
LIVINGSTON,64810.00,65393.00,631.76,102.59
MADISON,72382.00,73442.00,654.84,110.53
MONROE,747813.00,744344.00,657.21,1137.86
MONTGOMERY,49941.00,50219.00,403.04,123.91
NASSAU,1349233.00,1339532.00,284.72,4738.81
NIAGARA,215124.00,216469.00,522.36,411.83
ONEIDA,233556.00,234878.00,1212.43,192.63
ONONDAGA,466852.00,467026.00,778.39,599.77
ONTARIO,108519.00,107931.00,644.07,168.49
ORANGE,374512.00,372813.00,811.69,461.40
ORLEANS,42836.00,42883.00,391.26,109.48
OSWEGO,121700.00,122109.00,951.65,127.88
OTSEGO,61709.00,62259.00,1001.70,61.60
PUTNAM,99607.00,99710.00,230.31,432.49
RENSSELAER,159835.00,159429.00,652.43,244.98
ROCKLAND,317757.00,311687.00,173.55,1830.92
ST LAWRENCE,112232.00,111944.00,2680.38,41.87
SARATOGA,222133.00,219607.00,809.98,274.25
SCHENECTADY,155124.00,154727.00,204.52,758.48
SCHOHARIE,32099.00,32749.00,621.82,51.62
SCHUYLER,18514.00,18343.00,328.33,56.39
SENECA,35305.00,35251.00,323.71,109.06
STEUBEN,99063.00,98990.00,1390.56,71.24
SUFFOLK,1499273.00,1493350.00,912.05,1643.85
SULLIVAN,76793.00,77547.00,968.13,79.32
TIOGA,50478.00,51125.00,518.60,97.34
TOMPKINS,102554.00,101564.00,474.65,216.06
ULSTER,181791.00,182493.00,1124.24,161.70
WARREN,65538.00,65707.00,866.95,75.60
WASHINGTON,62934.00,63216.00,831.18,75.72
WAYNE,92962.00,93772.00,603.83,153.95
WESTCHESTER,961670.00,949113.00,430.50,2233.84
WYOMING,41892.00,42155.00,592.75,70.67
YATES,25344.00,25348.00,338.14,74.95
